reccount,polno,state,effdate,expdate,polage,cancel,reinstate,lapse,poltype,vehtype,deluxmulti,color,year,milecat,size,power,V96,deduct,county,limit,prem,incloss,claimct
217938,WEN9993888  ,AZ,20141120,20151120,6,1,4,2,delux,full,No,White,1955,3,1155,0,H              ,2500,115,25,1571,0,0
217945,WEN9993889  ,AZ,20141124,20151124,6,0,0,0,delux,full,No,White,1989,5,1071,1,H              ,1000,55,25,829,0,0
217966,WEN9993895  ,AZ,20141119,20151119,6,0,3,3,delux,full,No,White,1988,4,2180,0,               ,1000,95,100,1499,0,0
217978,WEN9993897  ,AZ,20141217,20151217,6,1,2,0,delux,full,No,White,1957,4,936,1,G              ,2500,9,25,922,0,0
217999,WEN9993903  ,AZ,20141128,20151128,6,0,0,0,delux,stand,No,White,1989,5,1804,1,H              ,2500,85,500,3363,0,0
218021,WEN9993909  ,AZ,20141121,20151121,6,0,1,1,delux,full,No,White,1993,2,2046,0,               ,1000,117,100,1478,0,0
218028,WEN9993911  ,AZ,20141214,20151214,6,1,2,0,delux,stand,No,White,1987,5,1737,1,               ,1000,109,100,1522,0,0
218048,WEN9993921  ,AZ,20141118,20151118,6,0,1,1,delux,stand,No,White,1986,9,1356,0,               ,1000,9,25,3737,0,0
218055,WEN9993922  ,AZ,20141118,20151118,6,0,4,4,delux,stand,No,White,1955,4,1044,0,               ,2500,103,25,2056,0,0
218065,WEN9993924  ,AZ,20141120,20151120,6,0,2,2,delux,full,No,White,1996,9,1847,1,G              ,2500,9,100,1459,0,0
218082,WEN9993929  ,AZ,20141120,20151120,6,0,0,0,delux,stand,Yes,White,1986,3,1391,2,               ,1000,57,100,3783,0,0
218092,WEN9993932  ,AZ,20141117,20151117,6,0,0,0,stand,lux,stand,Blue,1998,3,1200,0,               ,1000,21,25,2273,0,0
218099,WEN9993933  ,AZ,20141126,20151126,6,1,2,0,delux,full,No,White,1974,3,1911,0,G              ,2500,11,500,3797,0,0
218106,WEN9993934  ,AZ,20141214,20151214,6,0,0,0,delux,stand,No,White,1985,3,1391,0,G              ,2500,81,100,1288,0,0
218123,WEN9993938  ,AZ,20141124,20151124,6,0,0,0,delux,full,No,White,1985,3,1344,0,H              ,1000,71,25,1847,0,0
218130,WEN9993939  ,AZ,20141215,20151215,6,1,2,0,delux,stand,No,White,1988,5,1020,0,O              ,1000,109,100,1083,0,0
218149,WEN9993946  ,AZ,20141119,20151119,6,0,3,3,delux,stand,No,White,1955,4,1708,1,G              ,2500,71,25,1720,0,0
